Id,Texture Hardness,Texture Chewiness,Texture Crispiness,Color L*,Color a*,Color b*,Taste Sweetness,Taste Saltiness,Taste Bitterness,Shape Diameter,Shape Thickness,Smell Intensity,Smell Complexity,Smell Specific Compound,Detected Chemical,Defective
59,120,0.05,1.2,80,20,40,2,0.5,0.1,6,0.5,1,10,5,Ethyl butyrate,0
60,150,0.08,1.4,85,23,43,3,0.6,0.2,5.5,0.6,0.9,12,6,Limonene,1
61,135,0.06,1.3,82,22,42,2.5,0.3,0.3,6.2,0.4,0.8,8,4,?-Pinene,0
62,100,0.02,1,75,18,38,1.5,0.2,0.05,7,0.7,0.7,7,3,Linalool,1
63,145,0.07,1.5,87,25,45,3.5,0.8,0.15,5.8,0.5,0.9,13,7,?-Caryophyllene,1
64,130,0.04,1.1,81,21,41,2,0.4,0.1,6.1,0.6,0.8,9,5,3-Carene,1
65,110,0.03,1.2,78,19,39,2,0.2,0.05,6.5,0.7,0.6,8,4,1-Octen-3-ol,0
66,105,0.01,0.9,73,16,36,1,0.1,0.02,7.2,0.8,0.4,6,3,Geraniol,0
67,115,0.02,1,76,18,38,1.8,0.3,0.03,6.5,0.6,0.5,7,4,2-Nonanone,0
68,128,0.06,1.1,82,20,40,2,0.4,0.05,6,0.5,1,8,5,Limonene,0
69,155,0.09,1.3,88,25,43,3.2,0.7,0.1,5.5,0.6,0.8,11,7,?-Pinene,1
70,132,0.05,1.4,80,21,42,2.3,0.3,0.2,6.2,0.4,0.9,9,5,?-Pinene,0
71,115,0.03,1.1,76,19,38,1.8,0.2,0.05,6.8,0.7,0.7,7,3,?-Myrcene,1
72,147,0.07,1.6,86,24,44,3.6,0.9,0.1,5.8,0.5,0.9,12,6,?-Terpinene,1
73,128,0.04,1.2,81,20,41,2,0.4,0.1,6.1,0.6,0.8,10,5,?-Phellandrene,1
74,112,0.03,1.3,78,18,39,2.1,0.2,0.05,6.5,0.7,0.6,9,4,?-Terpinene,0
75,119,0.04,1.1,77,19,38,1.5,0.3,0.03,6.5,0.6,0.7,8,4,Citronellal,1
76,138,0.07,1.5,85,23,42,3.4,0.6,0.1,5.9,0.4,0.9,11,6,Linalool,1
77,124,0.05,1.3,79,20,40,2,0.4,0.1,6,0.5,0.9,9,5,Geraniol,0
78,109,0.02,1,75,18,37,1.5,0.2,0.03,6.8,0.8,0.6,6,3,Eucalyptol,1
79,141,0.08,1.6,88,25,46,3.8,0.9,0.1,5.7,0.5,0.9,12,7,Nerol,1
80,127,0.04,1.1,80,19,39,1.8,0.4,0.05,6.2,0.6,0.8,10,5,Camphor,0
81,116,0.03,1.2,76,18,38,2.2,0.2,0.04,6.6,0.7,0.7,8,4,?-Caryophyllene,1
82,112,0.03,1.1,78,19,39,2.3,0.3,0.02,6.4,0.5,0.6,7,4,?-Pinene,1
83,136,0.06,1.4,83,22,41,3.1,0.5,0.1,5.8,0.4,0.8,10,6,Citral,0
84,121,0.04,1.2,77,20,40,1.8,0.3,0.02,6.2,0.6,0.8,8,5,Eugenol,1
85,107,0.02,0.9,73,17,36,1.3,0.2,0.03,6.9,0.9,0.5,5,3,?-Terpineol,1
86,143,0.09,1.8,89,26,47,4,0.8,0.2,5.6,0.5,1,13,7,Thymol,1
87,129,0.05,1.2,81,20,39,2,0.4,0.04,6,0.6,0.7,9,5,Limonene,0
88,118,0.03,1.3,76,18,38,2.1,0.2,0.03,6.7,0.8,0.6,7,4,?-Myrcene,1
